Bacia,Reservatório,Num PDE
Bacia do Atlântico Sudeste,Reserv. NILO PECANHA,131
Bacia do Paranaíba (PR),Reserv. NOVA PONTE,25
Bacia do Paranapanema (PR),Reserv. OURINHOS,249
Bacia do Atlântico Leste,Reserv. P. CAVALO,189
Bacia do Rio Grande (PR),Reserv. P. COLOMBIA,12
Bacia do Atlântico Sudeste,Reserv. P. ESTRELA,135
Bacia do Paraná,Reserv. P. GALEANO,563
Bacia do Atlântico Sudeste,Reserv. P. PASSOS,133
Bacia do Paraná,Reserv. P. PRIMAVERA,46
Bacia do São Francisco,Reserv. P.AFONSO 4,175
Bacia do São Francisco,Reserv. P.AFONSO123,174
Bacia do Atlântico Sudeste,Reserv. PARAIBUNA/PA,121
Bacia do Tocantis,Reserv. PARANA,440
Bacia do Uruguai,Reserv. PASSO FUNDO,93
Bacia do Atlântico Sul,Reserv. PASSO REAL,111
Bacia do Uruguai,Reserv. PASSO S JOAO,102
Bacia do Tiête (PR),Reserv. Pedreira,109
Bacia do Tocantis,Reserv. PEIXE ANGICA,257
Bacia do Atlântico Sudeste,Reserv. PICADA,126
Bacia do Paranapanema (PR),Reserv. PIRAJU,48
Bacia do Tiête (PR),Reserv. Ponte Nova,105
Bacia do Paraguai,Reserv. PONTE PEDRA,281
Bacia do Tiête (PR),Reserv. PROMISSAO,40
Bacia do Uruguai,Reserv. QUEBRA QUEIXO,95
Bacia do São Francisco,Reserv. QUEIMADO,162
Bacia do São Francisco,Reserv. RETIRO BAIXO,155
Bacia do Amazonas,Reserv. RONDON 2,276
Bacia do Atlântico Sudeste,Reserv. ROSAL,217
Bacia do Paranapanema (PR),Reserv. ROSANA,63
Bacia do Paranapanema (PR),Reserv. S BRANCA TIB,54
Bacia do Atlântico Sudeste,Reserv. S.BRANCA PAR,122
Bacia do Atlântico Sudeste,Reserv. SA CARVALHO,193
Bacia do Paranaíba (PR),Reserv. SALTO,262
Bacia do Iguaçu (PR),Reserv. SALTO CAXIAS,82
Bacia do Atlântico Sudeste,Reserv. SALTO GRANDE,134
Bacia do Iguaçu (PR),Reserv. SALTO OSORIO,78
Bacia do Atlântico Sul,Reserv. SALTO PILAO,215
Bacia do Amazonas,Reserv. SAMUEL,279
Bacia do Atlântico Sudeste,Reserv. Santana,181
Bacia do Paraná,Reserv. SAO DOMINGOS,153
Bacia do Uruguai,Reserv. SAO JOSE,101
Bacia do Amazonas,Reserv. SAO MANOEL,230
Bacia do Uruguai,Reserv. SAO ROQUE,88
Bacia do Tocantis,Reserv. SAO SALVADOR,253
Bacia do Paranaíba (PR),Reserv. SAO SIMAO,33
Bacia do Uruguai,Reserv. SAUDADE,590
Bacia do Iguaçu (PR),Reserv. SEGREDO,76
Bacia do Paranaíba (PR),Reserv. SERRA FACAO,21
Bacia do Tocantis,Reserv. SERRA MESA,251
Bacia do Atlântico Sudeste,Reserv. SIMPLICIO,129
Bacia do Amazonas,Reserv. SINOP,227
Bacia do Paranaíba (PR),Reserv. SLT VERDINHO,241
Bacia do Iguaçu (PR),Reserv. SLT.SANTIAGO,77
Bacia do São Francisco,Reserv. SOBRADINHO,169
Bacia do Atlântico Sudeste,Reserv. SOBRAGI,127
Bacia do Atlântico Leste,Reserv. STA CLARA MG,283
Bacia do Iguaçu (PR),Reserv. STA CLARA PR,71
Bacia do Atlântico Sudeste,Reserv. Sta. Cecília,125
Bacia do Amazonas,Reserv. STO ANT JARI,286
Bacia do Amazonas,Reserv. STO ANTONIO,287
Bacia do Uruguai,Reserv. STOANTCHAP,592
Bacia do Atlântico Sudeste,Reserv. SUICA,528
Bacia do Amazonas,Reserv. TABAJARA,340
Bacia do Paranapanema (PR),Reserv. TAQUARUCU,62
Bacia do Paranapanema (PR),Reserv. TELEM BORBA,56
Bacia do Amazonas,Reserv. TELES PIRES,229
Bacia do Paranapanema (PR),Reserv. TIBAGI MONT,55
Bacia do Atlântico Sudeste,Reserv. Tocos,180
Bacia do Tiête (PR),Reserv. Traição,108
Bacia do Tiête (PR),Reserv. TRES IRMAOS,43
Bacia do São Francisco,Reserv. TRES MARIAS,156
Bacia do Tocantis,Reserv. TUCURUI,275
Bacia do Atlântico Sudeste,Reserv. Vigário,182
Bacia do Rio Grande (PR),Reserv. VOLTA GRANDE,11
Bacia do São Francisco,Reserv. XINGO,178
