num;nome;posto;Posto jusante;Quantos a montante?;Posto montante 1;Posto montante 2;Posto montante 3;Posto montante 4;Posto montante 5;Posto montante 6
133;P. PASSOS;306;999;2;131;303;999;999;999;999
46;P. PRIMAVERA;46;66;2;154;45;999;999;999;999
121;PARAIBUNA/PA;121;122;0;999;999;999;999;999;999
584;PARANHOS;584;222;0;999;999;999;999;999;999
93;PASSO FUNDO;93;220;0;999;999;999;999;999;999
111;PASSO REAL;111;112;1;999;999;999;999;999;999
102;PASSO S JOAO;103;999;1;102;999;999;999;999;999
257;PEIXE ANGICA;257;273;1;253;999;999;999;999;999
126;PICADA;197;198;0;999;999;999;999;999;999
48;PIRAJU;48;49;1;47;999;999;999;999;999
281;PONTE PEDRA;281;999;0;999;999;999;999;999;999
40;PROMISSAO;40;42;1;39;999;999;999;999;999
95;QUEBRA QUEIX;286;105;0;999;999;999;999;999;999
162;QUEIMADO;158;999;0;999;999;999;999;999;999
155;RETIRO BAIXO;155;156;0;999;999;999;999;999;999
276;RONDON 2;145;340;0;999;999;999;999;999;999
217;ROSAL;196;999;0;999;999;999;999;999;999
63;ROSANA;63;66;1;62;999;999;999;999;999
239;S L TAP COMP;492;999;0;999;999;999;999;999;999
238;S LUIZ TAPAJ;490;999;2;233;999;999;999;999;999
122;S.BRANCA PAR;122;123;1;121;999;999;999;999;999
414;S.SIMAO ALTO;414;232;1;412;999;999;999;999;999
193;SA CARVALHO;183;141;1;262;999;999;999;999;999
262;SALTO;294;241;0;999;999;999;999;999;999
82;SALTO CAXIAS;222;81;2;78;584;999;999;999;999
134;SALTO GRANDE;134;263;0;999;999;999;999;999;999
78;SALTO OSORIO;78;222;1;77;999;999;999;999;999
215;SALTO PILAO;101;999;0;999;999;999;999;999;999
279;SAMUEL;279;999;0;999;999;999;999;999;999
153;SAO DOMINGOS;154;46;0;999;999;999;999;999;999
101;SAO JOSE;102;103;0;999;999;999;999;999;999
230;SAO MANOEL;230;232;1;229;999;999;999;999;999
88;SAO ROQUE;88;89;0;999;999;999;999;999;999
253;SAO SALVADOR;253;257;1;191;999;999;999;999;999
33;SAO SIMAO;33;44;1;32;999;999;999;999;999
76;SEGREDO;75;77;1;74;999;999;999;999;999
21;SERRA FACAO;251;543;1;22;999;999;999;999;999
251;SERRA MESA;270;191;2;999;999;999;999;999;999
129;SIMPLICIO;127;299;1;198;999;999;999;999;999
227;SINOP;227;228;0;999;999;999;999;999;999
225;SLT APIACAS;225;232;0;999;999;999;999;999;999
412;SLT AUG BAIX;412;414;1;409;999;999;999;999;999
241;SLT VERDINHO;241;44;1;294;999;999;999;999;999
77;SLT.SANTIAGO;77;78;2;72;75;999;999;999;999
